Sintoma_1,Sintoma_2,Sintoma_3,Doenca_Associada,Superclasse_PTB-XL,Nivel_Risco,Trigger_Score
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
dor,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
hipertensao,insuficiencia,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
dor,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
edema,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
dor,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,3
dor,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,4
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,3
refere,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,1
nausea,vomito,sintoma,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
hemoptise,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
taquicardia,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,2
edema,hipotensao,choque,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
dor,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,0
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,4
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,3
sintoma,,,Trombólise no infarto agudo do miocárdio (alteplase),MI,alto,3
refere,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
insuficiencia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
taquicardia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,0
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
insuficiencia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
dor,choque,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
sintoma,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
dispneia,tosse,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dispneia,febre,fadiga,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,0
insuficiencia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
insuficiencia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
sintoma,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
angina,insuficiencia,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
hipotensao,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
dor,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
sintoma,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
nausea,vomito,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
edema,insuficiencia,choque,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
hipertensao,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,3
insuficiencia,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
tosse,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
sintoma,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,2
sintoma,,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,1
taquicardia,insuficiencia,,Arritmias e distúrbios de condução cardíaca (amiodarona),CD,alto,0
angina,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,3
angina,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,precordial,angina,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
apresentou,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,3
sintoma,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,3
dor,angina,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,4
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,0
refere,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
angina,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,2
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
dor,,,Síndrome coronariana aguda e antiagregação plaquetária (clopidogrel),MI,alto,1
